cast_id,movie_id,character,gender,realname,order
1,19995,Jake Sully,2,Sam Worthington,0
2,19995,Neytiri,1,Zoe Saldana,1
3,19995,Dr. Grace Augustine,1,Sigourney Weaver,2
4,19995,Col. Quaritch,2,Stephen Lang,3
5,19995,Trudy Chacon,1,Michelle Rodriguez,4
6,19995,Selfridge,2,Giovanni Ribisi,5
7,19995,Norm Spellman,2,Joel David Moore,6
8,19995,Moat,1,CCH Pounder,7
9,19995,Eytukan,2,Wes Studi,8
10,19995,Tsu'Tey,2,Laz Alonso,9
11,19995,Dr. Max Patel,2,Dileep Rao,10
12,19995,Lyle Wainfleet,2,Matt Gerald,11
13,19995,Private Fike,2,Sean Anthony Moran,12
14,19995,Cryo Vault Med Tech,2,Jason Whyte,13
15,19995,Venture Star Crew Chief,2,Scott Lawrence,14
16,19995,Lock Up Trooper,2,Kelly Kilgour,15
17,19995,Shuttle Pilot,0,James Patrick Pitt,16
18,19995,Shuttle Co-Pilot,0,Sean Patrick Murphy,17
19,19995,Shuttle Crew Chief,2,Peter Dillon,18
20,19995,Tractor Operator / Troupe,0,Kevin Dorman,19
21,19995,Dragon Gunship Pilot,2,Kelson Henderson,20
22,19995,Dragon Gunship Gunner,0,David Van Horn,21
23,19995,Dragon Gunship Navigator,0,Jacob Tomuri,22
24,19995,Suit #1,0,Michael Blain-Rozgay,23
25,19995,Suit #2,2,Jon Curry,24
26,19995,Ambient Room Tech,0,Luke Hawker,25
27,19995,Ambient Room Tech / Troupe,0,Woody Schultz,26
28,19995,Horse Clan Leader,2,Peter Mensah,27
29,19995,Link Room Tech,0,Sonia Yee,28
30,19995,Basketball Avatar / Troupe,1,Jahnel Curfman,29
31,19995,Basketball Avatar,0,Ilram Choi,30
32,19995,Na'vi Child,0,Kyla Warren,31
33,19995,Troupe,0,Lisa Roumain,32
34,19995,Troupe,1,Debra Wilson,33
35,19995,Troupe,0,Chris Mala,34
36,19995,Troupe,0,Taylor Kibby,35
37,19995,Troupe,0,Jodie Landau,36
38,19995,Troupe,0,Julie Lamm,37
39,19995,Troupe,0,Cullen B. Madden,38
40,19995,Troupe,0,Joseph Brady Madden,39
41,19995,Troupe,0,Frankie Torres,40
42,19995,Troupe,1,Austin Wilson,41
43,19995,Troupe,1,Sara Wilson,42
44,19995,Troupe,0,Tamica Washington-Miller,43
45,19995,Op Center Staff,1,Lucy Briant,44
46,19995,Op Center Staff,2,Nathan Meister,45
47,19995,Op Center Staff,0,Gerry Blair,46
48,19995,Op Center Staff,2,Matthew Chamberlain,47
49,19995,Op Center Staff,0,Paul Yates,48
50,19995,Op Center Duty Officer,0,Wray Wilson,49
51,19995,Op Center Staff,2,James Gaylyn,50
52,19995,Dancer,0,Melvin Leno Clark III,51
53,19995,Dancer,0,Carvon Futrell,52
54,19995,Dancer,0,Brandon Jelkes,53
55,19995,Dancer,0,Micah Moch,54
56,19995,Dancer,0,Hanniyah Muhammad,55
57,19995,Dancer,0,Christopher Nolen,56
58,19995,Dancer,0,Christa Oliver,57
59,19995,Dancer,0,April Marie Thomas,58
60,19995,Dancer,0,Bravita A. Threatt,59
61,19995,Mining Chief (uncredited),0,Colin Bleasdale,60
62,19995,Veteran Miner (uncredited),0,Mike Bodnar,61
63,19995,Richard (uncredited),0,Matt Clayton,62
64,19995,Nav'i (uncredited),1,Nicole Dionne,63
65,19995,Trooper (uncredited),0,Jamie Harrison,64
66,19995,Trooper (uncredited),0,Allan Henry,65
67,19995,Ground Technician (uncredited),2,Anthony Ingruber,66
68,19995,Flight Crew Mechanic (uncredited),0,Ashley Jeffery,67
69,19995,Samson Pilot,0,Dean Knowsley,68
70,19995,Trooper (uncredited),0,Joseph Mika-Hunt,69
71,19995,Banshee (uncredited),0,Terry Notary,70
72,19995,Soldier (uncredited),0,Kai Pantano,71
73,19995,Blast Technician (uncredited),0,Logan Pithyou,72
74,19995,Vindum Raah (uncredited),0,Stuart Pollock,73
75,19995,Hero (uncredited),0,Raja,74
76,19995,Ops Centreworker (uncredited),0,Gareth Ruck,75
77,19995,Engineer (uncredited),0,Rhian Sheehan,76
78,19995,Col. Quaritch's Mech Suit (uncredited),0,T. J. Storm,77
79,19995,Female Marine (uncredited),0,Jodie Taylor,78
80,19995,Ikran Clan Leader (uncredited),1,Alicia Vela-Bailey,79
81,19995,Geologist (uncredited),0,Richard Whiteside,80
82,19995,Na'vi (uncredited),0,Nikie Zambo,81
83,19995,Ambient Room Tech / Troupe,1,Julene Renee,82
84,285,Captain Jack Sparrow,2,Johnny Depp,0
85,285,Will Turner,2,Orlando Bloom,1
86,285,Elizabeth Swann,1,Keira Knightley,2
87,285,"William ""Bootstrap Bill"" Turner",2,Stellan Skarsgård,3
88,285,Captain Sao Feng,2,Chow Yun-fat,4
89,285,Captain Davy Jones,2,Bill Nighy,5
90,285,Captain Hector Barbossa,2,Geoffrey Rush,6
91,285,Admiral James Norrington,2,Jack Davenport,7
92,285,Joshamee Gibbs,2,Kevin McNally,8
93,285,Lord Cutler Beckett,2,Tom Hollander,9
94,285,Tia Dalma,1,Naomie Harris,10
95,285,Governor Weatherby Swann,2,Jonathan Pryce,11
96,285,Captain Teague Sparrow,2,Keith Richards,12
97,285,Pintel,2,Lee Arenberg,13
98,285,Ragetti,2,Mackenzie Crook,14
99,285,Lieutenant Theodore Groves,2,Greg Ellis,15
100,285,Cotton,2,David Bailie,16
101,285,Marty,2,Martin Klebba,17
102,285,Ian Mercer,0,David Schofield,18
103,285,Scarlett,1,Lauren Maher,19
104,285,Giselle,1,Vanessa Branch,20
105,285,Mullroy,2,Angus Barnett,21
106,285,Murtogg,0,Giles New,22
107,285,Tai Huang,2,Reggie Lee,23
108,285,Henry Turner,2,Dominic Scott Kay,24
109,285,Mistress Ching,1,Takayo Fischer,25
110,285,Lieutenant Greitzer,2,David Meunier,26
111,285,Hadras,2,Ho-Kwan Tse,27
112,285,Clacker,0,Andy Beckwith,28
113,285,Penrod,2,Peter Donald Badalamenti II,29
114,285,Cotton's Parrot (voice),2,Christopher S. Capp,30
115,285,Captain Teague,2,Keith Richards,31
116,285,Captain Jocard,2,Hakeem Kae-Kazim,32
117,285,Captain Ammand,0,Ghassan Massoud,33
118,206647,James Bond,2,Daniel Craig,0
119,206647,Blofeld,2,Christoph Waltz,1
120,206647,Madeleine,1,Léa Seydoux,2
121,206647,M,2,Ralph Fiennes,3
122,206647,Lucia,1,Monica Bellucci,4
123,206647,Q,2,Ben Whishaw,5
124,206647,Moneypenny,1,Naomie Harris,6
125,206647,Hinx,2,Dave Bautista,7
126,206647,C,2,Andrew Scott,8
127,206647,Tanner,2,Rory Kinnear,9
128,206647,Mr. White,2,Jesper Christensen,10
129,206647,Marco Sciarra,0,Alessandro Cremona,11
130,206647,Estrella,1,Stephanie Sigman,12
131,206647,Mexican Man in Lift,0,Tenoch Huerta,13
132,206647,Mexican Woman in Lift,1,Adriana Paz,14
133,206647,Gallo,2,Domenico Fortunato,15
134,206647,Gallo's Accomplice,0,Marco Zingaro,16
135,206647,Gallo's Accomplice,2,Stefano Elfi DiClaudia,17
136,206647,Q's Assistant,0,Ian Bonar,18
137,206647,Moneypenny's Boyfriend,2,Tam Williams,19
138,206647,Blofeld's London Helicopter Pilot,2,Richard Banham,20
139,206647,SC019 Police Commander,2,Pip Carter,21
140,206647,SC019 Police Officer,2,Simon Lenagan,22
141,206647,Priest,2,Alessandro Bressanello,23
142,206647,Moreau,0,Marc Zinga,24
143,206647,Vogel,0,Brigitte Millar,25
144,206647,Abrika,2,Adel Bencherif,26
145,206647,Blofeld's Right Hand Man,2,Gediminas Adomaitis,27
146,206647,Lorenzo,0,Peppe Lanzetta,28
147,206647,Francesco,2,Francesco Arca,29
148,206647,Marco,2,Matteo Taranto,30
149,206647,Palazzo Security,2,Emilio Aniba,31
150,206647,Guerra,2,Benito Sagredo,32
151,206647,Businessman,2,Dai Tabuchi,33
152,206647,Businessman,2,George Lasha,34
153,206647,Businessman,0,Sargon Yelda,35
154,206647,Businessman,2,Andy Cheung,36
155,206647,Marshall,2,Erick Hayden,37
156,206647,Valerian,2,Oleg Mirochnikov,38
157,206647,Fiat Driver,2,Antonio Salines,39
158,206647,Street Sweeper,2,Miloud Mourad Benamara,40
159,206647,Chairman,2,Gido Schimanski,41
160,206647,Head of Nation,0,Nigel Barber,42
161,206647,Head of Nation,2,Patrice Naiambana,43
162,206647,Head of Nation,2,Stephane Cornicard,44
163,206647,Head of Nation,2,Gary Fannin,45
164,206647,Head of Nation,2,Sadao Ueda,46
165,206647,Head of Nation,0,Phillip Law,47
166,206647,Head of Nation,2,Wai Wong,48
167,206647,Head of Nation,2,Joseph Balderrama,49
168,206647,Aide,2,Eiji Mihara,50
169,206647,Aide,2,Junichi Kajioka,51
170,206647,Clinic Barman,0,Victor Schefé,52
171,206647,Clinic Security Guard,2,Harald Windisch,53
172,206647,Clinic Security Guard,2,Tristan Matthiae,54
