room_id,cinema_id,name,type,price
1,1,Room_1,Standard,80000
2,1,Room_2,Standard,80000
3,1,Room_3,Standard,80000
4,1,Room_4,Standard,80000
5,1,Room_5,Standard,80000
6,1,Room_6,Standard,80000
7,1,Room_7,Premium,150000
8,1,Room_8,Premium,150000
9,1,Room_9,Standard,80000
10,1,Room_10,Standard,80000
11,2,Room_1,Standard,80000
12,2,Room_2,Standard,80000
13,2,Room_3,Standard,80000
14,2,Room_4,Standard,80000
15,2,Room_5,Standard,80000
16,2,Room_6,Standard,80000
17,2,Room_7,Premium,150000
18,2,Room_8,Premium,150000
19,2,Room_9,Standard,80000
20,2,Room_10,Standard,80000
