room_id,seat_id,row,col
1,A1_1,A,1
1,A2_1,A,2
1,A3_1,A,3
1,A4_1,A,4
1,A5_1,A,5
1,A6_1,A,6
1,A7_1,A,7
1,A8_1,A,8
1,A9_1,A,9
1,A10_1,A,10
1,A11_1,A,11
1,A12_1,A,12
1,A13_1,A,13
1,B1_1,B,1
1,B2_1,B,2
1,B3_1,B,3
1,B4_1,B,4
1,B5_1,B,5
1,B6_1,B,6
1,B7_1,B,7
1,B8_1,B,8
1,B9_1,B,9
1,B10_1,B,10
1,B11_1,B,11
1,B12_1,B,12
1,B13_1,B,13
1,C1_1,C,1
1,C2_1,C,2
1,C3_1,C,3
1,C4_1,C,4
1,C5_1,C,5
1,C6_1,C,6
1,C7_1,C,7
1,C8_1,C,8
1,C9_1,C,9
1,C10_1,C,10
1,C11_1,C,11
1,C12_1,C,12
1,C13_1,C,13
1,D1_1,D,1
1,D2_1,D,2
1,D3_1,D,3
1,D4_1,D,4
1,D5_1,D,5
1,D6_1,D,6
1,D7_1,D,7
1,D8_1,D,8
1,D9_1,D,9
1,D10_1,D,10
1,D11_1,D,11
1,D12_1,D,12
1,D13_1,D,13
1,E1_1,E,1
1,E2_1,E,2
1,E3_1,E,3
1,E4_1,E,4
1,E5_1,E,5
1,E6_1,E,6
1,E7_1,E,7
1,E8_1,E,8
1,E9_1,E,9
1,E10_1,E,10
1,E11_1,E,11
1,E12_1,E,12
1,E13_1,E,13
1,F1_1,F,1
1,F2_1,F,2
1,F3_1,F,3
1,F4_1,F,4
1,F5_1,F,5
1,F6_1,F,6
1,F7_1,F,7
1,F8_1,F,8
1,F9_1,F,9
1,F10_1,F,10
1,F11_1,F,11
1,F12_1,F,12
1,F13_1,F,13
1,G1_1,G,1
1,G2_1,G,2
1,G3_1,G,3
1,G4_1,G,4
1,G5_1,G,5
1,G6_1,G,6
1,G7_1,G,7
1,G8_1,G,8
1,G9_1,G,9
1,G10_1,G,10
1,G11_1,G,11
1,G12_1,G,12
1,G13_1,G,13
1,H1_1,H,1
1,H2_1,H,2
1,H3_1,H,3
1,H4_1,H,4
1,H5_1,H,5
1,H6_1,H,6
1,H7_1,H,7
1,H8_1,H,8
1,H9_1,H,9
1,H10_1,H,10
1,H11_1,H,11
1,H12_1,H,12
1,H13_1,H,13
1,I1_1,I,1
1,I2_1,I,2
1,I3_1,I,3
1,I4_1,I,4
1,I5_1,I,5
1,I6_1,I,6
1,I7_1,I,7
1,I8_1,I,8
1,I9_1,I,9
1,I10_1,I,10
1,I11_1,I,11
1,I12_1,I,12
1,I13_1,I,13
1,J1_1,J,1
1,J2_1,J,2
1,J3_1,J,3
1,J4_1,J,4
1,J5_1,J,5
1,J6_1,J,6
1,J7_1,J,7
1,J8_1,J,8
1,J9_1,J,9
1,J10_1,J,10
1,J11_1,J,11
1,J12_1,J,12
1,J13_1,J,13
1,K1_1,K,1
1,K2_1,K,2
1,K3_1,K,3
1,K4_1,K,4
1,K5_1,K,5
1,K6_1,K,6
1,K7_1,K,7
1,K8_1,K,8
1,K9_1,K,9
